Region,Scenario,Quantity,FuelType,Unit,2017,2018,2025,2030,2035,2040
North America,CPS,CO2 Emissions,Transport,MtCO2/y,,,2055.29,2002.82,1969.05,1944.57
North America,CPS,CO2 Emissions,Buildings,MtCO2/y,,,635.82,636.32,633.24,628.1
North America,CPS,Indicators,Population (million),million,,,514.56,530.869,546.177,559.291
North America,CPS,Indicators,Share of World population,Percent,,,0.063,0.062,0.062,0.061
North America,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,28507.38,31542.39,34986.58,38867.21
North America,CPS,Indicators,Share of World GDP,Percent,,,0.164,0.153,0.145,0.139
North America,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,55401.448,59416.534,64057.22,69493.741
North America,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,26768.77,29516.27,32632.53,36158.25
North America,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.098,0.089,0.081,0.074
North America,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.07,0.064,0.058,0.053
North America,CPS,Indicators,TPED per capita (toe),toe,,,5.415,5.286,5.204,5.146
United States,CPS,Electricity generation,Total generation,TWh/y,,,4579.98,4685.32,4805.57,4937.26
United States,CPS,Electricity generation,Coal,TWh/y,,,1023.17,976.66,938.48,902.44
United States,CPS,Electricity generation,Oil,TWh/y,,,19.67,18.16,14.97,9.61
United States,CPS,Electricity generation,Natural gas,TWh/y,,,1691.12,1678.53,1682.97,1703.06
United States,CPS,Electricity generation,Nuclear,TWh/y,,,741.37,706.06,658.28,611.24
United States,CPS,Electricity generation,Renewables,TWh/y,,,1102.92,1304.17,1509.14,1709.19
United States,CPS,Electricity generation,Hydro,TWh/y,,,303.81,310.82,319.83,329.79
United States,CPS,Electricity generation,Bioenergy,TWh/y,,,84.75,92.12,100.21,108.41
United States,CPS,Electricity generation,Wind,TWh/y,,,447.86,524.54,611.44,684.71
United States,CPS,Electricity generation,Geothermal,TWh/y,,,21,27.91,35.57,41.72
United States,CPS,Electricity generation,Solar PV,TWh/y,,,241.2,341.54,431.39,527.15
United States,CPS,Electricity generation,CSP,TWh/y,,,4.25,6.05,8.11,13.49
United States,CPS,Electricity generation,Marine,TWh/y,,,0.05,1.2,2.59,3.91
United States,CPS,Capacity,Total capacity,GW,,,1250,1351,1451,1537
United States,CPS,Capacity,Coal,GW,,,199,185,178,169
United States,CPS,Capacity,Oil,GW,,,22,21,21,19
United States,CPS,Capacity,Natural gas,GW,,,503,533,568,594
United States,CPS,Capacity,Nuclear,GW,,,94,90,84,78
United States,CPS,Capacity,Renewables,GW,,,422,503,574,640
United States,CPS,Capacity,Hydro,GW,,,104,106,107,109
United States,CPS,Capacity,Bioenergy,GW,,,19,20,21,22
United States,CPS,Capacity,Wind,GW,,,139,158,174,186
United States,CPS,Capacity,Geothermal,GW,,,4,5,6,7
United States,CPS,Capacity,Solar PV,GW,,,155,212,263,311
United States,CPS,Capacity,CSP,GW,,,2,2,3,3
United States,CPS,Capacity,Marine,GW,,,0,0,1,1
United States,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,4714.74,4596.32,4498.15,4399.54
United States,CPS,CO2 Emissions,Coal,MtCO2/y,,,1030.49,972.39,920.16,874.28
United States,CPS,CO2 Emissions,Oil,MtCO2/y,,,1967.8,1885.58,1819.06,1759.39
United States,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,1716.45,1738.34,1758.92,1765.86
United States,CPS,CO2 Emissions,Power sector,MtCO2/y,,,1603.18,1525.55,1467.37,1420.43
United States,CPS,CO2 Emissions,Coal,MtCO2/y,,,941.27,885.63,835.09,790.16
United States,CPS,CO2 Emissions,Oil,MtCO2/y,,,12.34,11.11,9.42,6.58
United States,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,649.58,628.81,622.86,623.69
United States,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,2791.79,2729.53,2675.13,2627.83
United States,CPS,CO2 Emissions,Coal,MtCO2/y,,,81.32,78.81,77.09,76.06
United States,CPS,CO2 Emissions,Oil,MtCO2/y,,,1848.24,1769.96,1705.45,1649.8
United States,CPS,CO2 Emissions,Transport,MtCO2/y,,,1670.54,1597.31,1540.23,1491.81
United States,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,862.23,880.76,892.59,901.98
United States,CPS,CO2 Emissions,Industry,MtCO2/y,,,497.44,501.23,499.08,499.37
United States,CPS,CO2 Emissions,Transport,MtCO2/y,,,1720.25,1656.58,1610.13,1570.35
United States,CPS,CO2 Emissions,Buildings,MtCO2/y,,,529.42,527.85,522.95,516.08
United States,CPS,Indicators,Population (million),million,,,341.34,350.608,359.682,367.585
United States,CPS,Indicators,Share of World population,Percent,,,0.042,0.041,0.041,0.04
United States,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,23395.9,25723,28359.1,31354
United States,CPS,Indicators,Share of World GDP,Percent,,,0.135,0.125,0.117,0.112
United States,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,68541.337,73366.837,78844.924,85297.278
United States,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,23395.9,25723,28359.1,31354
United States,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.097,0.088,0.08,0.072
United States,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.071,0.064,0.058,0.053
United States,CPS,Indicators,TPED per capita (toe),toe,,,6.667,6.471,6.315,6.168
Central and South America,CPS,Electricity generation,Total generation,TWh/y,,,1584.4,1810.88,2062.94,2351.13
Central and South America,CPS,Electricity generation,Coal,TWh/y,,,73.65,72.83,72.42,72.4
Central and South America,CPS,Electricity generation,Oil,TWh/y,,,97.01,85.98,82.58,75.61
Central and South America,CPS,Electricity generation,Natural gas,TWh/y,,,292.89,358.49,431.42,538.16
Central and South America,CPS,Electricity generation,Nuclear,TWh/y,,,24.11,35.16,60.58,73.93
Central and South America,CPS,Electricity generation,Renewables,TWh/y,,,1096.29,1257.97,1415.5,1590.59
Central and South America,CPS,Electricity generation,Hydro,TWh/y,,,858.92,967.28,1075.58,1184.24
Central and South America,CPS,Electricity generation,Bioenergy,TWh/y,,,88.58,97.05,107.45,117.75
Central and South America,CPS,Electricity generation,Wind,TWh/y,,,108.13,139.13,160.88,188.57
Central and South America,CPS,Electricity generation,Geothermal,TWh/y,,,7.08,10.71,15.33,20.9
Central and South America,CPS,Electricity generation,Solar PV,TWh/y,,,33.15,41.62,51.56,71.69
Central and South America,CPS,Electricity generation,CSP,TWh/y,,,0.43,2.18,4.7,7.44
Central and South America,CPS,Electricity generation,Marine,TWh/y,,,0,0,0,0
Central and South America,CPS,Capacity,Total capacity,GW,,,433,482,542,614
Central and South America,CPS,Capacity,Coal,GW,,,16,16,16,17
Central and South America,CPS,Capacity,Oil,GW,,,43,37,36,33
Central and South America,CPS,Capacity,Natural gas,GW,,,92,106,122,147
Central and South America,CPS,Capacity,Nuclear,GW,,,3,5,9,10
Central and South America,CPS,Capacity,Renewables,GW,,,278,317,356,403
Central and South America,CPS,Capacity,Hydro,GW,,,196,219,243,269
Central and South America,CPS,Capacity,Bioenergy,GW,,,23,25,26,28
Central and South America,CPS,Capacity,Wind,GW,,,35,43,49,56
Central and South America,CPS,Capacity,Geothermal,GW,,,1,2,2,3
Central and South America,CPS,Capacity,Solar PV,GW,,,23,27,33,44
Central and South America,CPS,Capacity,CSP,GW,,,0,1,1,2
Central and South America,CPS,Capacity,Marine,GW,,,0,0,0,0
Central and South America,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,1263.37,1360.45,1472.54,1602.35
Central and South America,CPS,CO2 Emissions,Coal,MtCO2/y,,,140.44,145.37,150.34,156.44
Central and South America,CPS,CO2 Emissions,Oil,MtCO2/y,,,797.1,833.12,875.76,915.01
Central and South America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,325.83,381.96,446.44,530.91
Central and South America,CPS,CO2 Emissions,Power sector,MtCO2/y,,,262.21,273.18,294.07,324.63
Central and South America,CPS,CO2 Emissions,Coal,MtCO2/y,,,75.11,73.28,71.69,70.99
Central and South America,CPS,CO2 Emissions,Oil,MtCO2/y,,,65.23,57.15,54.57,49.75
Central and South America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,121.86,142.74,167.81,203.88
Central and South America,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,900.71,973.66,1051.51,1128.34
Central and South America,CPS,CO2 Emissions,Coal,MtCO2/y,,,60.32,66.82,73.11,79.66
Central and South America,CPS,CO2 Emissions,Oil,MtCO2/y,,,697.39,738.57,782.55,823.31
Central and South America,CPS,CO2 Emissions,Transport,MtCO2/y,,,492.74,528.95,568.74,606.34
Central and South America,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,143,168.27,195.85,225.37
Central and South America,CPS,CO2 Emissions,Industry,MtCO2/y,,,256.85,281.96,307.65,335.01
Central and South America,CPS,CO2 Emissions,Transport,MtCO2/y,,,508.34,547.62,591.37,633.53
Central and South America,CPS,CO2 Emissions,Buildings,MtCO2/y,,,99.57,106.32,113.21,119.7
Central and South America,CPS,Indicators,Population (million),million,,,551.293,570.293,585.701,597.755
Central and South America,CPS,Indicators,Share of World population,Percent,,,0.068,0.067,0.066,0.065
Central and South America,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,9113.182,10599.329,12362.481,14280.127
Central and South America,CPS,Indicators,Share of World GDP,Percent,,,0.053,0.052,0.051,0.051
Central and South America,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,16530.569,18585.747,21107.157,23889.603
Central and South America,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,4917.229,5718.554,6670.46,7705.386
Central and South America,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.081,0.077,0.072,0.069
Central and South America,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.063,0.059,0.055,0.052
Central and South America,CPS,Indicators,TPED per capita (toe),toe,,,1.346,1.426,1.528,1.644
Brazil,CPS,Electricity generation,Total generation,TWh/y,,,715.53,811.35,921.6,1053.15
Brazil,CPS,Electricity generation,Coal,TWh/y,,,23.45,22.23,20.92,20.25
Brazil,CPS,Electricity generation,Oil,TWh/y,,,12.55,12.16,12.03,11.83
Brazil,CPS,Electricity generation,Natural gas,TWh/y,,,53.45,54.83,72.31,100.97
Brazil,CPS,Electricity generation,Nuclear,TWh/y,,,15.34,26.17,39.18,46.99
Brazil,CPS,Electricity generation,Renewables,TWh/y,,,610.28,695.52,776.72,872.67
Brazil,CPS,Electricity generation,Hydro,TWh/y,,,463.98,521.13,580.14,642.69
Brazil,CPS,Electricity generation,Bioenergy,TWh/y,,,63.31,65.97,68.61,71.32
Brazil,CPS,Electricity generation,Wind,TWh/y,,,71.9,92.86,106.68,126.35
Brazil,CPS,Electricity generation,Geothermal,TWh/y,,,0,0,0,0
Brazil,CPS,Electricity generation,Solar PV,TWh/y,,,11.1,14.98,19.43,29.03
Brazil,CPS,Electricity generation,CSP,TWh/y,,,0,0.58,1.86,3.28
Brazil,CPS,Electricity generation,Marine,TWh/y,,,0,0,0,0
Brazil,CPS,Capacity,Total capacity,GW,,,193,215,239,271
Brazil,CPS,Capacity,Coal,GW,,,5,4,4,4
Brazil,CPS,Capacity,Oil,GW,,,7,7,7,7
Brazil,CPS,Capacity,Natural gas,GW,,,20,21,21,24
Brazil,CPS,Capacity,Nuclear,GW,,,2,3,5,6
Brazil,CPS,Capacity,Renewables,GW,,,158,179,200,228
Brazil,CPS,Capacity,Hydro,GW,,,113,125,139,156
Brazil,CPS,Capacity,Bioenergy,GW,,,18,18,19,20
Brazil,CPS,Capacity,Wind,GW,,,20,25,29,33
Brazil,CPS,Capacity,Geothermal,GW,,,0,0,0,0
Brazil,CPS,Capacity,Solar PV,GW,,,8,10,13,18
Brazil,CPS,Capacity,CSP,GW,,,0,0,1,1
Brazil,CPS,Capacity,Marine,GW,,,0,0,0,0
Brazil,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,451.11,483.34,522.46,568.08
Brazil,CPS,CO2 Emissions,Coal,MtCO2/y,,,63.88,63.72,63.72,64.38
Brazil,CPS,CO2 Emissions,Oil,MtCO2/y,,,317.25,337.16,356.67,375.78
Brazil,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,69.97,82.45,102.07,127.92
Brazil,CPS,CO2 Emissions,Power sector,MtCO2/y,,,55.45,54.12,58.77,68.5
Brazil,CPS,CO2 Emissions,Coal,MtCO2/y,,,27.46,25.95,24.37,23.6
Brazil,CPS,CO2 Emissions,Oil,MtCO2/y,,,7.92,7.67,7.59,7.47
Brazil,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,20.07,20.49,26.81,37.43
Brazil,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,359.63,386.94,416.37,444.4
Brazil,CPS,CO2 Emissions,Coal,MtCO2/y,,,32.52,33.72,35.12,36.39
Brazil,CPS,CO2 Emissions,Oil,MtCO2/y,,,294.57,313.11,332.45,350.28
Brazil,CPS,CO2 Emissions,Transport,MtCO2/y,,,217.77,232.04,247.6,262.21
Brazil,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,32.54,40.1,48.8,57.72
Brazil,CPS,CO2 Emissions,Industry,MtCO2/y,,,99.59,108.01,116.34,124.85
Brazil,CPS,CO2 Emissions,Transport,MtCO2/y,,,220.69,235.56,252.22,267.73
Brazil,CPS,CO2 Emissions,Buildings,MtCO2/y,,,22.14,24.16,26.49,28.7
Brazil,CPS,Indicators,Population (million),million,,,220.553,225.418,228.773,230.662
Brazil,CPS,Indicators,Share of World population,Percent,,,0.027,0.026,0.026,0.025
Brazil,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,3938.24,4552.23,5325.96,6163.7
Brazil,CPS,Indicators,Share of World GDP,Percent,,,0.023,0.022,0.022,0.022
Brazil,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,17856.207,20194.616,23280.544,26721.783
Brazil,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,2186.21,2527.05,2956.57,3421.62
Brazil,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.083,0.078,0.073,0.069
Brazil,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.067,0.063,0.059,0.055
Brazil,CPS,Indicators,TPED per capita (toe),toe,,,1.476,1.58,1.707,1.851
Europe,CPS,Electricity generation,Total generation,TWh/y,,,4448.78,4621.57,4799,5011.98
Europe,CPS,Electricity generation,Coal,TWh/y,,,773.5,732.94,656.96,647.14
Europe,CPS,Electricity generation,Oil,TWh/y,,,31.05,22.54,19.22,15.45
Europe,CPS,Electricity generation,Natural gas,TWh/y,,,801.46,868.43,1015.61,1043.1
Europe,CPS,Electricity generation,Nuclear,TWh/y,,,858.91,825.15,749.53,770.51
Europe,CPS,Electricity generation,Renewables,TWh/y,,,1979.81,2168.46,2353.63,2531.74
Europe,CPS,Electricity generation,Hydro,TWh/y,,,711.65,732.56,748.68,762.21
Europe,CPS,Electricity generation,Bioenergy,TWh/y,,,277.47,297.77,316.65,333.2
Europe,CPS,Electricity generation,Wind,TWh/y,,,698.86,821.55,941.9,1048.98
Europe,CPS,Electricity generation,Geothermal,TWh/y,,,27.8,30.18,32.44,34.64
Europe,CPS,Electricity generation,Solar PV,TWh/y,,,256.77,275.24,295.7,321.19
Europe,CPS,Electricity generation,CSP,TWh/y,,,6.61,8.93,12.76,19.14
Europe,CPS,Electricity generation,Marine,TWh/y,,,0.66,2.24,5.49,12.37
Europe,CPS,Capacity,Total capacity,GW,,,1538,1598,1654,1724
Europe,CPS,Capacity,Coal,GW,,,194,174,151,148
Europe,CPS,Capacity,Oil,GW,,,32,25,20,16
Europe,CPS,Capacity,Natural gas,GW,,,340,370,411,431
Europe,CPS,Capacity,Nuclear,GW,,,125,118,106,109
Europe,CPS,Capacity,Renewables,GW,,,834,891,939,982
Europe,CPS,Capacity,Hydro,GW,,,258,264,269,273
Europe,CPS,Capacity,Bioenergy,GW,,,57,60,62,64
Europe,CPS,Capacity,Wind,GW,,,282,313,337,353
Europe,CPS,Capacity,Geothermal,GW,,,4,4,4,5
Europe,CPS,Capacity,Solar PV,GW,,,230,245,258,275
Europe,CPS,Capacity,CSP,GW,,,3,3,5,6
Europe,CPS,Capacity,Marine,GW,,,0,1,3,6
Europe,CPS,CO2 Emissions,Total CO2,MtCO2/y,,,3690.84,3574.41,3446.43,3386.13
Europe,CPS,CO2 Emissions,Coal,MtCO2/y,,,1050.54,981.74,876.38,844.96
Europe,CPS,CO2 Emissions,Oil,MtCO2/y,,,1499.13,1423.67,1341.27,1292.7
Europe,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,1141.17,1168.99,1228.79,1248.47
Europe,CPS,CO2 Emissions,Power sector,MtCO2/y,,,1200.77,1159.62,1114.13,1098.24
Europe,CPS,CO2 Emissions,Coal,MtCO2/y,,,790.85,733.26,639.43,616.5
Europe,CPS,CO2 Emissions,Oil,MtCO2/y,,,28.87,20.9,17.75,14.77
Europe,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,381.05,405.46,456.96,466.97
Europe,CPS,CO2 Emissions,Final consumption,MtCO2/y,,,2299.29,2238.64,2163.33,2117.94
Europe,CPS,CO2 Emissions,Coal,MtCO2/y,,,218.66,207.34,196.08,187.73
Europe,CPS,CO2 Emissions,Oil,MtCO2/y,,,1382.64,1322.89,1248.11,1202.52
Europe,CPS,CO2 Emissions,Transport,MtCO2/y,,,1082.87,1055.25,1011.74,992.03
Europe,CPS,CO2 Emissions,Natural gas,MtCO2/y,,,697.99,708.41,719.15,727.69
Europe,CPS,CO2 Emissions,Industry,MtCO2/y,,,505.54,496.6,488.25,480.88
Europe,CPS,CO2 Emissions,Transport,MtCO2/y,,,1096.76,1069.62,1028.18,1010.38
Europe,CPS,CO2 Emissions,Buildings,MtCO2/y,,,625.18,602.55,579.34,561.45
Europe,CPS,Indicators,Population (million),million,,,697.356,697.799,697.21,694.996
Europe,CPS,Indicators,Share of World population,Percent,,,0.086,0.082,0.079,0.076
Europe,CPS,Indicators,"GDP ($2018 billion, PPP)","$2018 billion, PPP",,,29919.67,32538.11,35156.49,37942.99
Europe,CPS,Indicators,Share of World GDP,Percent,,,0.173,0.158,0.146,0.136
Europe,CPS,Indicators,"GDP per capita ($2018, PPP)","$2018, PPP",,,42904.424,46629.658,50424.542,54594.584
Europe,CPS,Indicators,"GDP ($2018 billion, MER)","$2018 billion, MER",,,23923.193,25885.11,27842.622,29941.675
Europe,CPS,Indicators,"TPED/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.067,0.061,0.056,0.052
Europe,CPS,Indicators,"TFC/GDP (toe per $1000, PPP)","toe per $1000, PPP",,,0.048,0.045,0.041,0.038
Europe,CPS,Indicators,TPED per capita (toe),toe,,,2.866,2.84,2.809,2.832
Africa,CPS,Electricity generation,Total generation,TWh/y,,,1089.36,1337.98,1647.83,2029.06
Africa,CPS,Electricity generation,Coal,TWh/y,,,293.36,336.17,376.99,424.23
Africa,CPS,Electricity generation,Oil,TWh/y,,,103.75,102.23,110.53,112.55
Africa,CPS,Electricity generation,Natural gas,TWh/y,,,378.75,491.41,629.44,809.11
Africa,CPS,Electricity generation,Nuclear,TWh/y,,,14.11,28.49,34.54,43.75
Africa,CPS,Electricity generation,Renewables,TWh/y,,,297.81,378.09,494.77,637.84
Africa,CPS,Electricity generation,Hydro,TWh/y,,,208.72,243.18,296.15,351.37
Africa,CPS,Electricity generation,Bioenergy,TWh/y,,,5.34,13.39,21.2,28.68
